Feeding America San Diego Partner (for internal use for ancillary donor map),San Diego Food Bank Partner (for internal use for ancillary donor map),Food Program Name,2-1-1 web URL for  hyperlink on Agency Name,Street Address,City ,Zip Code,Distance,Day(s)/Time,Foods Typically Available,Documents Needed,Eligibility,"URL for details on Eligibility hyperlinked to ""Eligibility""",Contact for Additional Questions,2016 Holiday Closures,Other Services Offered at this Site
,SDFB,Metro Chollas View,TBD,906 North 47th St,San Diego,92102,Calculated from mapping zip code,"Every Wednesday and Friday from 10:00 am - 12:00 pm; Every Monday, Wednesday, and Friday from 1:00 pm - 3:00 pm","EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,"Closed                                      January 1, 18                      February 15                                            March 31                                              May 30                                        July 4                          September 5                         November 11, 24, 25                            December 23, 26, 30",
,SDFB,S D Broadway Spanish SDA,TBD,2411 Broadway St,San Diego,92102,Calculated from mapping zip code,Saturday after 1st Friday of the month from 3:00 pm - 6:00 pm,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,,
,SDFB,Being Alive,TBD,1051 University Ave,San Diego,92103,Calculated from mapping zip code,1st Friday of each month from 9:00 am - 12:00 pm,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,,
,SDFB,Good News Baptist Church,TBD,4106 Swift Av,San Diego,92104,Calculated from mapping zip code,1st Friday of each month from 9:00 am - 11:00 am,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,,
,SDFB,The Church of Nazarene in Mid City,TBD,4101 University Ave,San Diego,92105,Calculated from mapping zip code,1st Saturday of each month from 9:00 am - 11:00 am,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,,
,SDFB,New Hope SDA Church,TBD,2420 52nd Street,San Diego,92105,Calculated from mapping zip code,1st Friday of each month from 9:00 am - 11:00 am,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,,
,,President John Adams Manor Apt. MAAC,TBD,5410 Apt 2 Bayview Heights Pl,San Diego,92105,Calculated from mapping zip code,1st Friday of each month from 9:00 am until food is gone         ,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,Except for April will be Saturday 9th.,
,SDFB,St Agnes Church,TBD,1145 Evergreen St,San Diego,92106,Calculated from mapping zip code,4th Thursday of each month from 9:00 am until food is gone,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,For the month of November distribution day will be 17th.,
,SDFB,"Unions United, United Way of San Diego County",TBD,3737 Camino del Rio South #106,San Diego,92108,Calculated from mapping zip code,Monday through Friday from 8:00 am - 12:00 pm and 1:00 pm - 4:30 pm,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,"Closed                                                January 1, 18                                             February 15                                           May 30                                                                                          July 4                               September 5                                November 11, 24, 25                                            Dec. 23, 26, 30",
,SDFB,Bayside Community Center,TBD,2202 Comstock St.,San Diego,92111,Calculated from mapping zip code,Tuesday from 12:00 pm - 2:00 pm; Thursday from 10:00 am - 12:00 pm,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,"Closed                                                January 1, 18                                             February 15                                           May 30                                                                                          July 4                               September 5                                November 11, 24, 25                                            Dec. 26 - Jan 1st ",
,SDFB,Greater Victory Baptist Church,TBD,1045 So. 29 St,San Diego,92113,Calculated from mapping zip code,Tuesday and Thursday from 2:00 pm - 4:00 pm; Wednesday from 9:00 am - 11:00 am,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,"Closed                                                                 May 10, 11 & 12                               October 25, 26, 27           November 23                        December 21, 22, 28 & 29",
,,Mercado Apartments MAAC,TBD,2001 Newton Ave,San Diego,92113,Calculated from mapping zip code,1st Friday of each month from 9:00 am until food is gone         ,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,,
,SDFB,Christian Fellowship Church,TBD,1601 Kelton Rd,San Diego,92114,Calculated from mapping zip code,1st Friday of each month from 9:00 am until food is gone         ,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,,
,SDFB,Catholic Charities-College Area,TBD,"6360 El Cajon Blvd., Suite B, ",San Diego,92115,Calculated from mapping zip code,Monday through Friday from 9:00 am - 12:00 pm and 1:00 pm - 3:30 pm,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,"Closed                                                January 1, 7,18                                         February 4, 15                                          March 3, 25,                                    April 7,                                      May 5, 30                                              June 2,                                               July 7, 4                             August 4,                                             September 1, 5                           October 6,                         November 3, 24, 25                            December 1,  26                    Closed 1st Thursday of the month. All dates listed.",
,SDFB,Grace Church,TBD,4637 Oregon St,San Diego,92116,Calculated from mapping zip code,Every Wednesday from 6:00 pm - 8:00 pm; Every Saturday from 9:00 am - 11:00 am,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,Closed                                     May 28                                  September 3                                        November 23                              Dec 24,
,SDFB,Community Christian  Service Agency,TBD,4167 Rappahannock Av,San Diego,92117,Calculated from mapping zip code,Monday through Friday from 9:30 am - 3:30 pm,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,"Closed                                      January 1, 18                      February 15                                                                           May 30                                        July 4                          September 5                         November 11, 24,  25                            December 26",
,SDFB,Ascension Lutheran Church,TBD,5106 Zion Ave,San Diego,92120,Calculated from mapping zip code,1st Friday of each month from 9:00 am until food is gone         ,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,,
,SDFB,Mt Moriah Christian Church,TBD,7055 Carrol Rd,San Diego,92121,Calculated from mapping zip code,Every Tuesday and Thursday from 4:00 pm - 5:00 pm; Every Saturday from 9:00 am - 11:00 am          ,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,"Closed                                       May 31                                                           July 5                                                         November 24                               Dec. 24, 27, 29, & 31",
,SDFB,S D Armed Services YMCA,TBD,3293 Santo Rd,San Diego,92124,Calculated from mapping zip code,4th Thursday of each month from 10:00 am - 12:00 pm,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,For the month of November distribution day will be 17th.,
,SDFB,Casa Del Sol,TBD,1157 30th Street,San Diego,92154,Calculated from mapping zip code,2nd Friday of each month from 9:00 am until food is gone,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,For the month of November distribution day will be 10th.,
,SDFB,Nestor Methodist Church,TBD,1120 Nestor Way,Nestor,92154,Calculated from mapping zip code,2nd Friday of each month from 8:00 am until food is gone,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,none,
,,Metro Good Neighbor,TBD,1120 Nestor Way,Nestor,92154,Calculated from mapping zip code,Every Tuesday & Thursday from 9:00 am - 12:00 pm,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,"Closed                                      January 1, 18                      February 4, 15                                            March 31                                              May 30                                        July 4                          September 5                         November 11, 24, 25                            December 23, 26, 30",
FASD,SDFB,Hearts & Hands Working Together,TBD,455 Sycamore Rd,San Ysidro,92173,Calculated from mapping zip code,2nd Friday of each month from 8:00 am - 11:00 am,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,For the month of November distribution day will be 10th.,
FASD,SDFB,Hearts & Hands Working Together,TBD,663 E San Ysidro Blvd,San Ysidro,92173,Calculated from mapping zip code,Monday through Friday from 5:00 pm - 6:30 pm,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,"Closed                                                    January 1, 18                                                              February 15                            March 31                                         May 30                                             July 4                                           September 5                                                                       November 11, 24, 25                                                  December 23, 26, 30",
